Season,DayNum,team1_TeamID,team1_GameScore,team2_TeamID,team2_GameScore,WLoc,NumOT,team1_TeamName,team1_FirstD1Season,team1_LastD1Season,team1_Seed,team1_W,team1_L,team1_WP_5,team1_Score,team1_opponent_Score,team1_FGM,team1_FGA,team1_FGM3,team1_FGA3,team1_FTM,team1_FTA,team1_OR,team1_DR,team1_Ast,team1_TO,team1_Stl,team1_Blk,team1_PF,team1_opponent_FGM,team1_opponent_FGA,team1_opponent_FGM3,team1_opponent_FGA3,team1_opponent_FTM,team1_opponent_FTA,team1_opponent_OR,team1_opponent_DR,team1_opponent_Ast,team1_opponent_TO,team1_opponent_Stl,team1_opponent_Blk,team1_opponent_PF,team1_FGP,team1_FG3P,team1_FTP,team1_opponent_FGP,team1_opponent_FG3P,team1_opponent_FTP,team1_WP,team1_rank,team1_school,team1_name,team1_conference,team1_wins,team1_losses,team1_wpct,team1_seed,team1_w_l,team1_adjem,team1_adjo,team1_adjoR,team1_adjd,team1_adjdR,team1_adjt,team1_adjtR,team1_luck,team1_luckR,team1_adjems,team1_adjemsR,team1_oppos,team1_opposR,team1_oppds,team1_oppdsR,team1_adjemn,team1_adjemnR,team2_TeamName,team2_FirstD1Season,team2_LastD1Season,team2_Seed,team2_W,team2_L,team2_WP_5,team2_Score,team2_opponent_Score,team2_FGM,team2_FGA,team2_FGM3,team2_FGA3,team2_FTM,team2_FTA,team2_OR,team2_DR,team2_Ast,team2_TO,team2_Stl,team2_Blk,team2_PF,team2_opponent_FGM,team2_opponent_FGA,team2_opponent_FGM3,team2_opponent_FGA3,team2_opponent_FTM,team2_opponent_FTA,team2_opponent_OR,team2_opponent_DR,team2_opponent_Ast,team2_opponent_TO,team2_opponent_Stl,team2_opponent_Blk,team2_opponent_PF,team2_FGP,team2_FG3P,team2_FTP,team2_opponent_FGP,team2_opponent_FG3P,team2_opponent_FTP,team2_WP,team2_rank,team2_school,team2_name,team2_conference,team2_wins,team2_losses,team2_wpct,team2_seed,team2_w_l,team2_adjem,team2_adjo,team2_adjoR,team2_adjd,team2_adjdR,team2_adjt,team2_adjtR,team2_luck,team2_luckR,team2_adjems,team2_adjemsR,team2_oppos,team2_opposR,team2_oppds,team2_oppdsR,team2_adjemn,team2_adjemnR,outcome
2006,139,1400,75,1301,54,N,0,Texas,1985,2020,2,27,6,0.6,76.12121212121212,60.09090909090909,26.96969696969697,57.696969696969695,7.424242424242424,19.545454545454547,14.757575757575758,20.454545454545453,14.06060606060606,26.181818181818183,14.909090909090908,13.696969696969697,8.151515151515152,5.121212121212121,15.303030303030303,21.606060606060606,56.57575757575758,6.545454545454546,20.21212121212121,10.333333333333334,14.424242424242424,10.818181818181818,19.424242424242426,12.969696969696969,14.272727272727273,6.757575757575758,2.272727272727273,18.696969696969695,0.46743697478991597,0.37984496124031003,0.7214814814814815,0.38189608998393143,0.32383808095952027,0.7163865546218487,0.8181818181818182,3,Texas 2,texas,B12,30,7,0.8108108108108109,2,30-7,25.79,117.5,6,91.7,15,63.9,233,0.039,73,7.79,35,106.1,55,98.3,14,-0.02,158,NC State,1985,2020,10,21,9,0.2,75.7,67.66666666666667,25,53.53333333333333,9.333333333333334,24.633333333333333,16.366666666666667,21.633333333333333,9.033333333333333,24.2,16,13.666666666666666,7.366666666666666,4.866666666666666,17.7,23.966666666666665,58.333333333333336,5.733333333333333,18.733333333333334,14,19.8,13.3,22.733333333333334,13,13.966666666666667,6.966666666666667,3.4,20.366666666666667,0.4669987546699876,0.3788903924221922,0.7565485362095532,0.4108571428571428,0.30604982206405695,0.7070707070707071,0.7,30,N.C. State 10,n.c. state,ACC,22,10,0.6875,10,22-10,15.92,112.5,32,96.6,60,64.4,216,0.013,135,6.74,52,107.1,36,100.3,78,-7.99,316,W
2014,137,1438,70,1157,59,N,0,Virginia,1985,2020,1,28,6,0.8,65.94117647058823,55.294117647058826,23.058823529411764,50.970588235294116,5.5,15.088235294117647,14.323529411764707,21.58823529411765,10.911764705882353,24.647058823529413,13.088235294117647,10.205882352941176,5.323529411764706,3.9705882352941178,16.058823529411764,19.441176470588236,50.55882352941177,5.470588235294118,17.147058823529413,10.941176470588236,16.352941176470587,8.852941176470589,20.470588235294116,9.735294117647058,11.441176470588236,5.117647058823529,3.4411764705882355,18.441176470588236,0.45239469128678594,0.36452241715399614,0.6634877384196185,0.3845258871436882,0.3190394511149228,0.6690647482014389,0.8235294117647058,4,Virginia 1,virginia,ACC,30,7,0.8108108108108109,1,30-7,26.46,114.8,27,88.3,4,59.5,345,0.012,154,8.67,28,109.4,31,100.8,27,1.57,114,Coastal Car,1987,2020,16,18,12,1,70.53333333333333,69.03333333333333,24.666666666666668,57.46666666666667,5.733333333333333,17.9,15.466666666666667,22.333333333333332,12.7,26.133333333333333,9.933333333333334,14.1,6.2,2.8,19.933333333333334,22.933333333333334,56.8,7.733333333333333,24.1,15.433333333333334,22.2,11.166666666666666,23.833333333333332,11.766666666666667,12.833333333333334,7.266666666666667,4.266666666666667,19.133333333333333,0.42923433874709976,0.32029795158286783,0.6925373134328359,0.40375586854460094,0.3208852005532503,0.6951951951951952,0.6,221,Coastal Carolina 16,coastal carolina,BSth,21,13,0.6176470588235294,16,21-13,-4.98,98.2,290,103.2,133,65.6,125,0.04,89,-8.1,332,102.1,297,110.2,342,-4.94,301,W
2014,138,1361,63,1295,44,N,0,San Diego St,1985,2020,4,27,4,0.8,68.35483870967742,57.83870967741935,23.548387096774192,55.38709677419355,4.741935483870968,13.96774193548387,16.516129032258064,24.870967741935484,12.903225806451612,23.903225806451612,9.35483870967742,9.774193548387096,7.451612903225806,4.967741935483871,16.64516129032258,20.741935483870968,52.32258064516129,5,16.225806451612904,11.35483870967742,16.64516129032258,10,22.806451612903224,10.03225806451613,13.516129032258064,4.258064516129032,4.419354838709677,19.741935483870968,0.425160163075131,0.33949191685912244,0.6640726329442282,0.3964241676942047,0.3081510934393638,0.682170542635659,0.8709677419354839,23,San Diego St. 4,san diego st.,MWC,31,5,0.8611111111111112,4,31-5,20.38,110.4,86,90,7,62.3,294,0.067,37,5.18,79,108,68,102.8,96,2.71,86,N Dakota St,2006,2020,12,22,6,1,74.75,67.46428571428571,26.571428571428573,52.82142857142857,5,14.321428571428571,16.607142857142858,22.035714285714285,9.142857142857142,22.892857142857142,11.5,9.928571428571429,6.142857142857143,4.285714285714286,18.285714285714285,22.5,51.607142857142854,6.714285714285714,17.892857142857142,15.75,20.892857142857142,8.571428571428571,19.928571428571427,11.5,11.178571428571429,5.178571428571429,1.9285714285714286,18.25,0.5030425963488844,0.3491271820448878,0.753646677471637,0.4359861591695502,0.375249500998004,0.7538461538461538,0.7857142857142857,61,North Dakota St. 12,north dakota st.,Sum,26,7,0.7878787878787878,12,26-7,11.76,115.5,25,103.7,144,62.3,292,0.089,17,1.38,121,106.8,105,105.4,173,5.32,44,W
2019,136,1120,78,1308,77,N,0,Auburn,1985,2020,5,25,9,1,78.88235294117646,68.58823529411765,27.029411764705884,60.44117647058823,11.411764705882353,29.970588235294116,13.411764705882353,18.735294117647058,11.735294117647058,21.941176470588236,14.411764705882353,12.147058823529411,9.294117647058824,4.764705882352941,18.38235294117647,23.235294117647058,52.94117647058823,8.323529411764707,23.38235294117647,13.794117647058824,19.352941176470587,10.764705882352942,24.176470588235293,12.029411764705882,17.58823529411765,5.911764705882353,3.676470588235294,17.205882352941178,0.4472019464720195,0.3807654563297351,0.7158555729984302,0.4388888888888889,0.35597484276729563,0.7127659574468086,0.7352941176470589,11,Auburn 5,auburn,SEC,30,10,0.75,5,30-10,25,120.9,6,95.9,36,67.9,155,0.008,162,12.23,11,110.7,3,98.5,20,2.63,96,New Mexico St,1985,2020,12,28,4,1,77.65625,64.8125,27.34375,59.28125,9.375,27.53125,13.59375,20.1875,12.625,25.125,14.5,12.03125,5.53125,2.46875,18.09375,22.71875,53.84375,6.96875,21.03125,12.40625,17.46875,7.125,21.65625,8.65625,13.125,4.84375,1.875,20.34375,0.4612546125461255,0.340522133938706,0.673374613003096,0.4219384793964016,0.3313521545319465,0.7101967799642218,0.875,53,New Mexico St. 12,new mexico st.,WAC,30,5,0.8571428571428571,12,30-5,13.62,113,35,99.3,84,65.9,269,0.042,79,-3.44,236,102.8,235,106.2,222,-3.22,254,W
2010,144,1397,76,1326,73,N,0,Tennessee,1985,2020,6,25,8,0.8,73.63636363636364,64.93939393939394,26.757575757575758,59.121212121212125,5.878787878787879,18.757575757575758,14.242424242424242,21.303030303030305,11.727272727272727,25,14.333333333333334,13.242424242424242,8.090909090909092,3.757575757575758,19.90909090909091,21.606060606060606,54.878787878787875,6.121212121212121,20.87878787878788,15.606060606060606,22.424242424242426,11.636363636363637,24.393939393939394,11.212121212121213,16.757575757575758,6.03030303030303,4.2727272727272725,19.242424242424242,0.4525884161968221,0.3134087237479806,0.6685633001422474,0.3937051352843733,0.2931785195936139,0.6959459459459458,0.7575757575757576,30,Tennessee 6,tennessee,SEC,28,9,0.7567567567567568,6,28-9,18.5,108.9,75,90.4,11,67.5,91,0.082,20,8.67,34,107.4,32,98.7,35,-0.48,160,Ohio St,1985,2020,2,27,7,1,74.23529411764706,61.205882352941174,26.823529411764707,54.05882352941177,7.323529411764706,18.88235294117647,13.264705882352942,19.294117647058822,9.088235294117647,24.38235294117647,14.705882352941176,11.323529411764707,7.147058823529412,4.088235294117647,15.294117647058824,22.11764705882353,53.85294117647059,6.794117647058823,19.794117647058822,10.176470588235293,14.411764705882353,9.676470588235293,21.647058823529413,12.382352941176471,14.205882352941176,5.147058823529412,2.0588235294117645,18.029411764705884,0.4961915125136017,0.3878504672897196,0.6875000000000001,0.4107045330420535,0.34323922734026746,0.7061224489795918,0.7941176470588235,7,Ohio St. 2,ohio st.,B10,29,8,0.7837837837837838,2,29-8,24.99,117.5,8,92.5,26,64.6,232,0.007,152,7.88,49,106.3,60,98.4,26,-2.92,243,W
2016,136,1274,79,1138,72,N,0,Miami FL,1986,2020,3,25,7,0.6,75.625,66.8125,26.15625,54.875,6.84375,18.71875,16.46875,21.9375,9.6875,25.0625,12.8125,10.65625,6.0625,3.625,16.5625,24.6875,57.46875,5.75,17.125,11.6875,16.53125,10.3125,22.125,11.40625,11.625,5.09375,2.65625,19.03125,0.4766514806378132,0.3656093489148581,0.7507122507122507,0.42958129418162044,0.3357664233576642,0.7069943289224953,0.78125,15,Miami FL 3,miami fl,ACC,27,8,0.7714285714285715,3,27-8,22.44,119.4,11,96.9,42,65.9,284,0.077,33,11.67,6,111.6,5,99.9,11,2.63,90,Buffalo,1992,2020,14,19,14,0.8,76.60606060606061,75.93939393939394,25.818181818181817,59.45454545454545,7.363636363636363,21.96969696969697,17.606060606060606,24.818181818181817,12.090909090909092,26.727272727272727,12.545454545454545,13.818181818181818,6.7272727272727275,3.484848484848485,21.272727272727273,26.272727272727273,60.21212121212121,7.424242424242424,21.606060606060606,15.969696969696969,22.333333333333332,10.727272727272727,25.484848484848484,13.393939393939394,12.878787878787879,5.787878787878788,3.242424242424242,20.636363636363637,0.43425076452599387,0.3351724137931035,0.7094017094017094,0.4363361852038249,0.3436185133239832,0.7150610583446404,0.5757575757575758,138,Buffalo 14,buffalo,MAC,20,15,0.5714285714285714,14,20-15,2.95,105.9,158,102.9,134,72.1,27,0.044,76,0.97,131,106.5,95,105.6,177,2,107,W
2018,138,1181,87,1348,62,N,0,Duke,1985,2020,2,26,7,0.6,84.6969696969697,69.60606060606061,30.545454545454547,61.93939393939394,8.303030303030303,21.96969696969697,15.303030303030303,21.606060606060606,13.545454545454545,28.333333333333332,17.515151515151516,12.606060606060606,7.515151515151516,5.363636363636363,15.636363636363637,25.78787878787879,64.27272727272727,7.575757575757576,23.606060606060606,10.454545454545455,14.151515151515152,11.666666666666666,21.060606060606062,14.363636363636363,12.030303030303031,5.818181818181818,2.696969696969697,18.303030303030305,0.4931506849315069,0.3779310344827586,0.7082748948106592,0.4012258368694013,0.3209242618741977,0.73875802997858675,0.7878787878787878,3,Duke 2,duke,ACC,29,8,0.7837837837837838,2,29-8,28.86,122.4,3,93.6,9,69.7,93,-0.034,271,10.6,15,110.4,30,99.8,10,4.09,58,Rhode Island,1985,2020,7,25,7,0.4,76.1875,67.90625,28.09375,61.125,6.8125,19.46875,13.1875,18.65625,11.28125,23.125,15.28125,10.75,7.5,3.46875,19.0625,23.53125,52.25,5.25,15.875,15.59375,21.25,8.6875,25.0625,11.40625,15.875,5.5625,3.09375,17.4375,0.4596114519427403,0.34991974317817015,0.7068676716917923,0.4503588516746411,0.33070866141732286,0.7338235294117647,0.78125,52,Rhode Island 7,rhode island,A10,26,8,0.7647058823529411,7,26-8,13.93,111.1,69,97.2,46,68.4,173,0.063,44,3.49,85,107.6,75,104.1,107,3.83,64,W
2005,137,1235,64,1278,53,N,0,Iowa St,1985,2020,9,18,11,0.6,68.37931034482759,64.13793103448276,25.24137931034483,57.241379310344826,3.689655172413793,12.586206896551724,14.206896551724139,20.551724137931036,11.758620689655173,23.20689655172414,14.241379310344827,12.931034482758621,9.482758620689655,3.793103448275862,16.689655172413794,23.03448275862069,55.44827586206897,6.724137931034483,21.689655172413794,11.344827586206897,16.620689655172413,11.758620689655173,23.75862068965517,14.517241379310345,17.379310344827587,6.793103448275862,3.2758620689655173,17.482758620689655,0.4409638554216868,0.29315068493150687,0.6912751677852349,0.4154228855721393,0.31001589825119236,0.6825726141078838,0.6206896551724138,48,Iowa St. 9,iowa st.,B12,19,12,0.6129032258064516,9,19-12,13.02,103.1,159,90.1,9,66.8,130,0.003,152,7.22,39,107.5,28,100.3,60,-3.06,238,Minnesota,1985,2020,8,21,10,0.8,68.45161290322581,62.83870967741935,24.193548387096776,53.03225806451613,5.32258064516129,14.96774193548387,14.741935483870968,20.838709677419356,11.387096774193548,22.483870967741936,14.35483870967742,16.129032258064516,9.129032258064516,4.645161290322581,15.903225806451612,22.677419354838708,53.483870967741936,5.612903225806452,17.677419354838708,11.870967741935484,16.774193548387096,10.67741935483871,20.548387096774192,13.225806451612904,17.29032258064516,8.03225806451613,3.903225806451613,18.93548387096774,0.45620437956204385,0.35560344827586204,0.7074303405572755,0.42400482509047044,0.31751824817518254,0.7076923076923077,0.6774193548387096,41,Minnesota 8,minnesota,B10,21,11,0.65625,8,21-11,14.06,104,143,89.9,7,67.3,114,0.016,121,6.18,61,106,75,99.8,47,-3.99,258,W
2011,145,1139,74,1196,71,N,1,Butler,1985,2020,8,22,9,1,72.48387096774194,65,24.70967741935484,55.806451612903224,7.451612903225806,20.580645161290324,15.612903225806452,21.451612903225808,10.870967741935484,24.06451612903226,12.419354838709678,11.290322580645162,5.935483870967742,1.5161290322580645,19.161290322580644,22.548387096774192,52.54838709677419,6.193548387096774,18.967741935483872,13.709677419354838,20.741935483870968,9.096774193548388,22.64516129032258,10.612903225806452,12.580645161290322,5.419354838709677,2.870967741935484,19.677419354838708,0.4427745664739885,0.3620689655172413,0.7278195488721804,0.42909760589318596,0.32653061224489793,0.6609642301710731,0.7096774193548387,36,Butler 8,butler,Horz,28,10,0.7368421052631579,8,28-10,16.46,112.3,43,95.9,46,63.5,262,0.033,94,6.11,57,106.4,61,100.3,54,6.67,26,Florida,1985,2020,2,26,7,0.8,71.54545454545455,63.06060606060606,25.939393939393938,56.18181818181818,6.212121212121212,17.454545454545453,13.454545454545455,20.181818181818183,13.090909090909092,24.424242424242426,13.727272727272727,12.424242424242424,5.878787878787879,3.5454545454545454,14.424242424242424,23.727272727272727,55.81818181818182,5.666666666666667,17.78787878787879,9.93939393939394,14.848484848484848,10.393939393939394,21.03030303030303,11.515151515151516,12.545454545454545,6.151515151515151,3.242424242424242,18.393939393939394,0.4617044228694714,0.3559027777777778,0.6666666666666666,0.42508143322475567,0.31856899488926743,0.6693877551020408,0.7878787878787878,17,Florida 2,florida,SEC,29,8,0.7837837837837838,2,29-8,20.61,115.8,20,95.2,38,62.5,300,0.038,84,7.73,33,106.8,47,99.1,19,1.55,110,W
2007,137,1272,73,1317,58,N,0,Memphis,1985,2020,2,30,3,1,79.57575757575758,62.333333333333336,28.09090909090909,60.878787878787875,7.666666666666667,21.818181818181817,15.727272727272727,25.78787878787879,14.787878787878787,25.12121212121212,15.06060606060606,13.575757575757576,9.818181818181818,5.909090909090909,19.757575757575758,20.939393939393938,54.333333333333336,5,15.878787878787879,15.454545454545455,23.151515151515152,11.93939393939394,22.545454545454547,10.363636363636363,18.03030303030303,5.696969696969697,3.878787878787879,20.87878787878788,0.46142359382777504,0.3513888888888889,0.6098707403055229,0.3853876185164528,0.3148854961832061,0.6675392670157068,0.9090909090909091,9,Memphis 2,memphis,CUSA,33,4,0.8918918918918919,2,33-4,24.81,115.4,28,90.6,10,68.4,68,0.03,104,2.93,106,105.3,130,102.4,97,3.41,76,North Texas,1985,2020,15,20,10,1,76.23333333333333,72.13333333333334,27.1,59.43333333333333,6.766666666666667,17.833333333333332,15.266666666666667,23.4,13.766666666666667,25.2,12.433333333333334,15.466666666666667,6.166666666666667,4.4,20.4,24.1,56.93333333333333,7.3,19.5,16.633333333333333,23.833333333333332,11.333333333333334,23.1,10.866666666666667,15.533333333333333,6.266666666666667,3.566666666666667,20.766666666666666,0.45597307908020196,0.3794392523364486,0.6524216524216525,0.42330210772833726,0.37435897435897436,0.6979020979020979,0.6666666666666666,162,North Texas 15,north texas,SB,23,11,0.6764705882352942,15,23-11,-0.98,103,187,104,154,69.1,55,0.034,92,-6.4,282,102.2,224,108.6,319,-2.88,225,W
